Squad,# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,season,country
Mallorca,3,43,1.13,145,101,74.5,14,8,16,13,34.2,2022,SP
Osasuna,2,42,1.11,148,107,72.3,15,8,15,11,28.9,2022,SP
Rayo Vallecano,2,53,1.39,144,95,66.0,13,10,15,9,23.7,2022,SP
Real Madrid,2,36,0.95,136,100,76.5,24,6,8,13,34.2,2022,SP
Real Sociedad,1,35,0.92,133,99,74.4,21,8,9,15,39.5,2022,SP
Sevilla,2,54,1.42,161,109,67.7,13,10,15,9,23.7,2022,SP
Valencia,1,45,1.18,148,105,70.9,11,9,18,7,18.4,2022,SP
Valladolid,3,63,1.66,199,134,71.4,11,7,20,9,23.7,2022,SP
Villarreal,3,40,1.05,149,110,75.8,19,7,12,12,31.6,2022,SP
Augsburg,2,63,1.85,201,138,69.2,9,7,18,6,17.6,2022,GE
Bayern Munich,3,38,1.12,107,68,72.9,21,8,5,11,32.4,2022,GE
Bochum,1,72,2.12,200,128,68.0,10,5,19,5,14.7,2022,GE
Dortmund,2,44,1.29,151,108,71.5,22,5,7,12,35.3,2022,GE
Eint Frankfurt,2,52,1.53,135,84,63.0,13,11,10,6,17.6,2022,GE
Freiburg,1,44,1.29,150,106,74.0,17,8,9,13,38.2,2022,GE
Gladbach,4,55,1.62,180,126,72.8,11,10,13,9,26.5,2022,GE
Hertha BSC,2,69,2.03,170,100,62.4,7,8,19,3,8.8,2022,GE
Hoffenheim,1,57,1.68,161,105,65.8,10,6,18,5,14.7,2022,GE
Köln,1,54,1.59,129,77,61.2,10,12,12,6,17.6,2022,GE
Leverkusen,2,49,1.44,146,99,71.2,14,8,12,9,26.5,2022,GE
Mainz 05,2,55,1.62,153,95,66.7,12,10,12,7,20.6,2022,GE
RB Leipzig,3,41,1.21,106,66,67.9,20,6,8,10,29.4,2022,GE
Schalke 04,2,71,2.09,193,123,65.8,7,10,17,7,20.6,2022,GE
Stuttgart,2,57,1.68,146,90,65.1,7,12,15,2,5.9,2022,GE
Union Berlin,2,38,1.12,144,106,78.5,18,8,8,13,38.2,2022,GE
Werder Bremen,2,64,1.88,184,121,66.3,10,6,18,4,11.8,2022,GE
Wolfsburg,1,48,1.41,147,101,70.1,13,10,11,12,35.3,2022,GE
Atalanta,3,48,1.26,153,107,70.6,19,7,12,9,23.7,2022,IT
Bologna,2,49,1.29,165,117,74.5,14,12,12,8,21.1,2022,IT
Cremonese,3,69,1.82,225,157,71.6,5,12,21,6,15.8,2022,IT
Empoli,3,49,1.29,159,110,71.7,10,13,15,9,23.7,2022,IT
Fiorentina,4,43,1.13,120,78,70.0,15,11,12,10,26.3,2022,IT
Hellas Verona,2,59,1.55,185,128,68.6,7,10,21,6,15.8,2022,IT
Inter,3,42,1.11,137,98,71.5,23,3,12,13,34.2,2022,IT
Juventus,2,33,0.87,133,99,78.2,22,6,10,20,52.6,2022,IT
Lazio,2,30,0.79,128,99,77.3,22,8,8,21,55.3,2022,IT
Lecce,1,46,1.21,156,112,73.7,8,12,18,6,15.8,2022,IT
Milan,3,43,1.13,123,80,68.3,20,10,8,12,31.6,2022,IT
Monza,2,52,1.37,172,121,71.5,14,10,14,10,26.3,2022,IT
Napoli,2,28,0.74,107,78,74.8,28,6,4,18,47.4,2022,IT
Roma,2,38,1.0,118,80,69.5,18,9,11,14,36.8,2022,IT
Salernitana,3,62,1.63,196,130,71.9,9,15,14,7,18.4,2022,IT
Sampdoria,3,71,1.87,215,144,70.7,3,10,25,4,10.5,2022,IT
Sassuolo,3,61,1.61,130,71,56.2,12,9,17,9,23.7,2022,IT
Spezia,4,62,1.63,183,123,68.9,6,13,19,6,15.8,2022,IT
Torino,1,41,1.08,136,95,73.5,14,11,13,11,28.9,2022,IT
Udinese,1,48,1.26,137,91,69.3,11,13,14,10,26.3,2022,IT
América (MG),4,81,2.13,215,135,64.7,5,9,24,2,5.3,2023,BR
Ath Paranaense,2,43,1.13,170,124,77.1,14,14,10,10,26.3,2023,BR
Atlético Mineiro,2,32,0.84,140,109,78.6,19,9,10,15,39.5,2023,BR
Bahia,3,53,1.39,192,140,75.5,12,8,18,9,23.7,2023,BR
Botafogo (RJ),2,37,0.97,170,134,78.2,18,10,10,15,39.5,2023,BR
Corinthians,2,48,1.26,187,140,77.5,12,14,12,10,26.3,2023,BR
Coritiba,3,73,1.92,220,148,70.9,8,6,24,6,15.8,2023,BR
Cruzeiro,2,32,0.84,140,108,78.6,11,14,13,16,42.1,2023,BR
Cuiabá,2,39,1.03,151,114,76.8,14,9,15,13,34.2,2023,BR
Flamengo,3,42,1.11,176,133,79.5,19,9,10,15,39.5,2023,BR
Fluminense,3,47,1.24,160,114,73.8,16,8,14,12,31.6,2023,BR
Fortaleza,3,44,1.16,160,116,74.4,15,9,14,10,26.3,2023,BR
Goiás,2,53,1.39,176,124,72.7,9,11,18,10,26.3,2023,BR
Grêmio,4,56,1.47,186,131,72.6,21,5,12,8,21.1,2023,BR
Internacional,3,45,1.18,164,119,76.2,15,10,13,11,28.9,2023,BR
Palmeiras,2,33,0.87,149,116,80.5,20,10,8,16,42.1,2023,BR
Red Bull Bragantino,2,35,0.92,130,95,78.5,17,11,10,17,44.7,2023,BR
Santos,2,64,1.68,202,140,70.3,11,10,17,8,21.1,2023,BR
São Paulo,2,38,1.0,134,97,77.6,14,11,13,15,39.5,2023,BR
Vasco da Gama,1,51,1.34,182,130,74.2,12,9,17,9,23.7,2023,BR
Arsenal,2,29,0.76,83,54,67.5,28,5,5,18,47.4,2023,EN
Aston Villa,2,61,1.61,173,115,65.3,20,8,10,8,21.1,2023,EN
Bournemouth,3,67,1.76,194,127,68.6,13,9,16,9,23.7,2023,EN
Brentford,2,65,1.71,184,119,65.8,10,9,19,7,18.4,2023,EN
Brighton,2,62,1.63,165,105,66.1,12,12,14,6,15.8,2023,EN
Burnley,2,78,2.05,244,168,70.5,5,9,24,2,5.3,2023,EN
Chelsea,2,63,1.66,186,125,67.7,18,9,11,8,21.1,2023,EN
Crystal Palace,3,58,1.53,154,98,64.3,13,10,15,10,26.3,2023,EN
Everton,1,51,1.34,165,117,73.9,13,9,16,13,34.2,2023,EN
Fulham,1,61,1.61,190,133,72.1,13,8,17,10,26.3,2023,EN
Liverpool,2,41,1.08,147,108,72.8,24,10,4,10,26.3,2023,EN
Luton Town,2,85,2.24,223,142,63.7,6,8,24,2,5.3,2023,EN
Manchester City,2,34,0.89,109,76,71.6,28,7,3,13,34.2,2023,EN
Manchester Utd,1,58,1.53,203,146,74.9,18,6,14,9,23.7,2023,EN
Newcastle Utd,3,62,1.63,195,133,70.3,18,6,14,10,26.3,2023,EN
Nott'ham Forest,3,67,1.76,163,98,61.3,9,9,20,4,10.5,2023,EN
Sheffield Utd,2,104,2.74,263,166,62.4,3,7,28,1,2.6,2023,EN
Tottenham,1,61,1.61,167,109,67.7,20,6,12,7,18.4,2023,EN
West Ham,2,74,1.95,241,169,72.6,14,10,14,5,13.2,2023,EN
Wolves,2,65,1.71,203,139,71.9,13,7,18,5,13.2,2023,EN
Alavés,2,46,1.21,147,103,74.1,12,10,16,11,28.9,2023,SP
Almería,3,75,1.97,202,126,65.8,3,12,23,6,15.8,2023,SP
Athletic Club,2,37,0.97,134,98,73.1,19,11,8,18,47.4,2023,SP
Atlético Madrid,1,43,1.13,144,101,70.8,24,4,10,13,34.2,2023,SP
Barcelona,2,44,1.16,141,97,70.2,26,7,5,17,44.7,2023,SP
Betis,3,45,1.18,158,115,75.9,14,15,9,13,34.2,2023,SP
Cádiz,2,55,1.45,175,121,69.7,6,15,17,10,26.3,2023,SP
Celta Vigo,2,57,1.5,164,109,68.9,10,11,17,6,15.8,2023,SP
Getafe,2,54,1.42,173,118,71.7,10,13,15,10,26.3,2023,SP
Girona,1,46,1.21,168,121,75.6,25,6,7,12,31.6,2023,SP
Granada,4,79,2.08,203,126,63.5,4,9,25,3,7.9,2023,SP
Las Palmas,2,47,1.24,156,109,73.1,10,10,18,8,21.1,2023,SP
Mallorca,3,44,1.16,148,104,73.0,8,16,14,10,26.3,2023,SP
Osasuna,2,56,1.47,152,95,63.8,12,9,17,10,26.3,2023,SP
Rayo Vallecano,2,48,1.26,151,104,68.9,8,14,16,13,34.2,2023,SP
Real Madrid,3,26,0.68,118,93,78.8,29,8,1,21,55.3,2023,SP
Real Sociedad,2,39,1.03,135,96,75.6,16,12,10,15,39.5,2023,SP
Sevilla,3,54,1.42,175,123,72.0,10,11,17,8,21.1,2023,SP
Valencia,3,45,1.18,160,114,73.8,13,10,15,13,34.2,2023,SP
Villarreal,2,65,1.71,214,150,72.4,14,11,13,6,15.8,2023,SP
Augsburg,2,60,1.76,183,123,71.0,10,9,15,3,8.8,2023,GE
Bayern Munich,3,45,1.32,124,78,66.1,23,3,8,11,32.4,2023,GE
Bochum,2,74,2.18,189,117,65.6,7,12,15,4,11.8,2023,GE
Darmstadt 98,2,86,2.53,215,130,60.5,3,8,23,3,8.8,2023,GE
Dortmund,2,43,1.26,145,103,73.8,18,9,7,10,29.4,2023,GE
Eint Frankfurt,2,50,1.47,146,94,71.9,11,14,9,7,20.6,2023,GE
Freiburg,1,58,1.71,158,99,65.2,11,9,14,10,29.4,2023,GE
Gladbach,2,67,1.97,207,140,70.5,7,13,14,4,11.8,2023,GE
Heidenheim,1,55,1.62,174,121,72.4,10,12,12,6,17.6,2023,GE
Hoffenheim,1,66,1.94,211,143,69.7,13,7,14,2,5.9,2023,GE
Köln,1,60,1.76,168,108,66.1,5,12,17,4,11.8,2023,GE
Leverkusen,2,24,0.71,105,81,77.1,28,6,0,16,47.1,2023,GE
Mainz 05,2,51,1.5,145,95,66.9,7,14,13,8,23.5,2023,GE
RB Leipzig,2,39,1.15,117,79,70.1,19,8,7,10,29.4,2023,GE
Stuttgart,2,39,1.15,129,93,72.1,23,4,7,12,35.3,2023,GE
Union Berlin,2,58,1.71,168,109,68.5,9,6,19,7,20.6,2023,GE
Werder Bremen,2,54,1.59,166,113,71.1,11,9,14,7,20.6,2023,GE
Wolfsburg,2,56,1.65,151,98,64.2,10,7,17,6,17.6,2023,GE
Atalanta,3,42,1.11,142,99,74.6,21,6,11,15,39.5,2023,IT
Bologna,3,32,0.84,125,91,76.8,18,14,6,17,44.7,2023,IT
Cagliari,3,68,1.79,157,92,59.2,8,12,18,5,13.2,2023,IT
Empoli,3,54,1.42,185,130,74.1,9,9,20,9,23.7,2023,IT
Fiorentina,3,46,1.21,148,101,74.3,17,9,12,8,21.1,2023,IT
Frosinone,2,69,1.82,180,112,64.4,8,11,19,7,18.4,2023,IT
Genoa,3,45,1.18,139,94,69.8,12,13,13,9,23.7,2023,IT
Hellas Verona,2,51,1.34,163,113,69.9,9,11,18,8,21.1,2023,IT
Inter,3,22,0.58,113,90,82.3,29,7,2,21,55.3,2023,IT
Juventus,3,31,0.82,116,86,75.0,19,14,5,17,44.7,2023,IT
Lazio,2,39,1.03,148,109,75.0,18,7,13,13,34.2,2023,IT
Lecce,1,54,1.42,173,119,71.7,8,14,16,7,18.4,2023,IT
Milan,4,49,1.29,163,115,74.8,22,9,7,13,34.2,2023,IT
Monza,2,51,1.34,191,138,77.0,11,12,15,12,31.6,2023,IT
Napoli,3,48,1.26,128,78,64.1,13,14,11,7,18.4,2023,IT
Roma,2,46,1.21,151,107,71.5,18,9,11,11,28.9,2023,IT
Salernitana,3,81,2.13,207,128,65.7,2,11,25,2,5.3,2023,IT
Sassuolo,2,75,1.97,173,101,61.3,7,9,22,3,7.9,2023,IT
Torino,2,36,0.95,143,107,79.7,13,14,11,18,47.4,2023,IT
Udinese,2,53,1.39,157,105,72.0,6,19,13,9,23.7,2023,IT
